cluster,fgf1_day,fgf1_comparison,grouping,cells_a,cells_b,hub_node,hub_node_name,terminal_names,term_size,query_size,intersection_size,p_value,gene_ids,
1,Agrp,Day5,obob5v5,fgf1_grouping,neg,none,GO:0035113,embryonic appendage morphogenesis,NA,132,61,5,0.0264197063850919,Fras1; Gli2; Zbtb16; Chd7; Rarb
2,Agrp,Day5,obob5v5,fgf1_grouping,neg,none,GO:0031589,cell-substrate adhesion,NA,355,173,11,0.0430191655416193,Vwc2; Cdh13; Carmil1; Eda; Gcnt2; Rin2; Nexmif; Limch1; Fmn1; Flna; Ntn4
3,Agrp,Day5,obob5v5,fgf1_grouping,pos,none,GO:0050803,regulation of synapse structure or activity,regulation of presynapse assembly,297,427,24,2.20308512717859E-07,Zfp804a; Il1rapl2; Mef2c; Cntnap4; Nrg1; Il1rapl1; Cdh8; Lrrtm4; Nlgn1; Lrrn1; Lrfn5; Lrfn2; Tiam1; Elavl2; Lrrtm3; Cdkl5; Lrrk2; Clstn2; Flrt3; Ppfia2; Ptn; Grid2; Cdh2; Mdga1
4,Agrp,Day5,obob5v5,fgf1_grouping,pos,none,GO:0019932,second-messenger-mediated signaling,NA,300,269,19,5.64036547338238E-07,Nrg1; Pde3a; Crhr1; Grin2b; Cap2; Agtr1a; Sgcd; Grm1; Chrm3; Gnai1; Ptprj; Ncald; Nos1; Tox3; Lrrk2; Pde9a; Htr2c; Pde7b; Cdh13
5,Agrp,Day5,obob5v5,fgf1_grouping,pos,none,GO:0007200,phospholipase C-activating G protein-coupled receptor signaling pathway,NA,80,261,10,1.36484289098843E-05,Hcrtr2; Crhr1; Esr1; Agtr1a; Npr3; Plcb1; Grm1; Chrm3; Ano1; Htr2c
6,Agrp,Day5,obob5v5,fgf1_grouping,pos,none,GO:0007214,gamma-aminobutyric acid signaling pathway,NA,29,609,9,2.37786392900032E-05,Plcl1; Cacnb4; Htr4; Gabrg2; Gabrg3; Gabrb2; Gabra4; Gabra3; Gabra5
7,Agrp,Day5,obob5v5,fgf1_grouping,pos,none,GO:0042391,regulation of membrane potential,NA,485,636,34,5.31504076022465E-05,Mef2c; Trpc5; Grik2; Nlgn1; Scn1a; Grin2b; Ctnna3; Kcnk13; Grm1; Cacnb4; Nos1; Ano1; Gria3; Lrrk2; Grik4; Bcl2; Gabrg2; Fgf12; Kcnmb2; Gabrg3; Gabrb2; Ptn; Grid2; Gabra4; Grin3a; Bcl2l1; Kcnh4; Gabra3; Cngb1; Glra4; Ano6; Gabra5; Kcnd3; Pex5l
8,Agrp,Day5,obob5v5,fgf1_grouping,pos,none,GO:0040013,negative regulation of locomotion,negative regulation of cell migration,350,385,20,0.000474459550616866,Mef2c; Nrg1; Ptprr; Ptprm; Cdh11; Plcb1; Slit2; Ripor2; Limch1; Ptprj; Mcc; Robo1; Htr2c; Tafa5; Bcl2; Stard13; Tet1; Sulf1; Tmeff2; Ptn
9,Agrp,Day5,obob5v5,fgf1_grouping,pos,none,GO:1990806,ligand-gated ion channel signaling pathway,NA,39,508,8,0.00135723662194186,Grik2; Grin2b; Plcb1; Chrm3; Gria3; Grik4; Grid2; Grin3a
10,Agrp,Day5,obob5v5,fgf1_grouping,pos,none,GO:0099003,vesicle-mediated transport in synapse,NA,255,625,21,0.0015666321269535,Rph3a; Nrg1; Syt1; Nlgn1; Cadps2; Unc13c; Efnb2; Cacnb4; Lrrk2; Amph; Usp46; Hip1; Ppfia2; Slc18a2; Cdh2; Syt10; Bcl2l1; Rab3b; Sh3gl2; Syt9; Ap1s2
